"id","hsncode","name","gst_tax_ids:id"
"07052100","07052100","Witloof chicory (cichorium intybus var foliosum)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07060000","07060000","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar eidble roots, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07061000","07061000","Carrots and turnips","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07069010","07069010","Horse radish fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07069020","07069020","Other radish fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07069030","07069030","Salad beetroot fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07069090","07069090","Carrots, turnips & other edible roots, fresh or chill: Other","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07070000","07070000","Cucumbers and gherkins, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07080000","07080000","Leguminous vegetables, shelled or unshelled, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07081000","07081000","Peas (pisum sativum) shelled or unshelled, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07082000","07082000","Beans (vigna spp, phaseolus spp) shelled or unshelled, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07089000","07089000","Other leguminous vegetables shelled or unshelled, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07090000","07090000","Other vegitables, fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07091000","07091000","Globe artichokes fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07092000","07092000","Asparagus fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07093000","07093000","Eggplants (aubergines) fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07094000","07094000","Celery other than celeriac fresh or chilled","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07095100","07095100","Mushrooms of the genus agaricus","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07095200","07095200","Truffles","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07095900","07095900","Other mushrooms","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07096000","07096000","Fruits of the genus capsicum (peppers) or of the genus pimenta (eg, allspice)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07096010","07096010","Green Chilly of the genus capsicum or of the genus pimenta","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07096090","07096090","Other Capsicum","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07097000","07097000","Spinach, new zealand spinach and orache spinach (garden spinach)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07099010","07099010","Olives","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07099020","07099020","Curry Banana (Plantain)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07099030","07099030","Pumpkins","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"07099040","07099040","Green Pepper","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
